code,name,category,category-name,category-description
110,Aid grant excluding debt reorganisation,100,GRANT,Transfers in cash or in kind for which no legal debt is incurred by the recipient.
111,Subsidies to national private investors,100,GRANT,Transfers in cash or in kind for which no legal debt is incurred by the recipient.
210,Interest subsidy grant in AF,200,INTEREST SUBSIDY,"Subsidies to soften the terms of private export credits, or loans or credits by the banking sector."
211,Interest subsidy to national private exporters,200,INTEREST SUBSIDY,"Subsidies to soften the terms of private export credits, or loans or credits by the banking sector."
310,Deposit basis,300,CAPITAL SUBSCRIPTION,"Payments to multilateral agencies in the form of notes and similar instruments, unconditionally cashable at sight by the recipient institutions."
311,Encashment basis,300,CAPITAL SUBSCRIPTION,"Payments to multilateral agencies in the form of notes and similar instruments, unconditionally cashable at sight by the recipient institutions."
410,Aid loan excluding debt reorganisation,400,LOAN,Transfers in cash or in kind for which the recipient incurs legal debt.
411,Investment-related loan to developing countries,400,LOAN,Transfers in cash or in kind for which the recipient incurs legal debt.
412,Loan in a joint venture with the recipient,400,LOAN,Transfers in cash or in kind for which the recipient incurs legal debt.
413,Loan to national private investor,400,LOAN,Transfers in cash or in kind for which the recipient incurs legal debt.
414,Loan to national private exporter,400,LOAN,Transfers in cash or in kind for which the recipient incurs legal debt.
451,Non-banks guaranteed export credits,450,EXPORT CREDIT,Official or private loans which are primarily export-facilitating in purpose. They are usually tied to a specific export from the extending country and not represented by a negotiable instrument.
452,Non-banks non-guaranteed portions of guaranteed export credits,450,EXPORT CREDIT,Official or private loans which are primarily export-facilitating in purpose. They are usually tied to a specific export from the extending country and not represented by a negotiable instrument.
453,Bank export credits,450,EXPORT CREDIT,Official or private loans which are primarily export-facilitating in purpose. They are usually tied to a specific export from the extending country and not represented by a negotiable instrument.
510,Acquisition of equity as part of a joint venture with the recipient,500,EQUITY,Investment in a country on the DAC List of ODA Recipients that is not made to acquire a lasting interest in an enterprise.
511,Acquisition of equity not part of joint venture in developing countries,500,EQUITY,Investment in a country on the DAC List of ODA Recipients that is not made to acquire a lasting interest in an enterprise.
