code,abbreviation,name
AT-1,BMF,Federal Ministry of Finance
AT-10,BMLFUW,Ministry for Agriculture and Environment
AT-11,BMLV,Ministry of Defense
AT-12,BMI,Ministry of Interior
AT-2,MIN,Various ministries
AT-3,Breg,Federal Government of Austria
AT-4,OeKB,Oesterreichische Kontrollbank AG
AT-5,BMA,Federal Ministry of Foreign Affairs
AT-6,Reg,"Provincial governments, local communities "
AT-8,ADA,Austrian Development Agency
AT-9,BM/BWK,Education and Science Ministry
AT-99,MISC,Miscellaneous
AU-5,AusAID,Australian Agency for International Development
AU-72,EFIC,Export Finance and Insurance Corporation
BE-10,DGCD,Directorate General for Co-operation and Development
BE-20,SPAE,Official Federal Service of Foreign Affairs (excl. DGCD)
BE-30,SPFF,Official Federal Service of Finance
BE-31,OND,Ducroire National Office
BE-39,ASPF,Other Official Federal Services
BE-70,MPRF,Flanders Official Regional Ministries
BE-80,MPRW,Walloon Official Regional Ministries
BE-91,MPRB,Brussels Official Regional Ministries
BE-94,MPRG,German speaking Official Regional Ministries
CA-1,CIDA,Canadian International Development Agency
CA-2,IDRC,International Development Research Centre
CA-31,EDC,Export Development Corporation
CA-4,DF,Department of Finance
CH-1,FA,Federal Administration (various departments)
CH-10,SAEFL,"Swiss Agency for the Environment, Forests and Landscape "
CH-11,MUNIC,Municipalities
CH-4,SDC,Swiss Agency for Development and Co-operation
CH-5,Seco,State Secretariat for Economic Affairs
CH-6,DFA,Federal Department of Foreign Affairs
CH-7,SER,State Secretariat for Education and Research
CH-8,FOM,Federal Office for Migration
CH-9,DDPS,"Federal Department for Defence, Civil Protection and Sports "
DE-1,BMZ,Bundesministerium für Wirtschaftliche Zusammenarbeit und Entwicklung
DE-11,F O,Foreign Office
DE-12,L G,Federal States & Local Governments
DE-14,Fed Inst,Federal Institutions
DE-16,Fed Min,Federal Ministries
DE-17,Found,Foundations/Societies/Misc. (non federal)
DE-2,KFW,Kreditanstalt für Wiederaufbau
DE-34,HERMES,Hermes Kreditversicherungs-AG
DE-4,DEG,German Investment and Development Company
DE-52,GTZ,Deutsche Gesellschaft für Technische Zusammenarbeit
DK-1,MFA,Ministry of Foreign Affairs
DK-2,DANIDA,Danish International Development Agency (Not in CRS Directives)
DK-4,DANCED,Not in CRS Directives
DK-72,EKR,EKR
ES-1,ICO,Instituto de Credito Oficial
ES-10,ENV,Ministry of Environment
ES-11,MOH,Ministry of Health
ES-12,EMP,Ministry of Labour and Social Affairs
ES-13,INT,Ministry of Interior
ES-14,MPA,Ministry of Public Administration
ES-15,CESCE,Compania Espanola de Seguros de Credito a la Exportación
ES-16,MUNIC,Municipalities
ES-17,MISC,Miscellaneous
ES-18,MST,Ministry of Science and Technology
ES-19,DEF,Ministry of Defense
ES-2,AG,Autonomous Governments
ES-4,AGR,"Ministry of Agriculture, Fisheries, and Food "
ES-5,MFA,Ministry of Foreign Affairs
ES-6,ECON,Ministry of Economy and Finance
ES-7,EDUC,"Ministry of Education, Culture and Sports "
ES-8,MPW,Ministry of Public Works
ES-9,MIE,Ministry of Industry and Energy
EU-1,CEC,Commission of the European Communities
EU-2,EDF,European Development Fund
EU-3,EIB,European Investment Bank
EU-4,ECHO,Humanitarian Aid Office of the European Commission
FI-1,FG,Finnish Government
FI-2,FF,FinnFund
FI-3,MFA,Ministry of Foreign Affairs
FI-4,FIDE,FIDE
FI-72,FINNVERA,FinnVera
FR-10,MINEFI,"Ministry of Economy, Finance and Industry "
FR-17,MEN,"Ministry of Education, Higher education and Research "
FR-3,AFD,French Development Agency
FR-43,COFACE,Coface
FR-6,MAE,Ministry of Foreign Affairs
GB-1,DFID,Department for International Development
GB-2,CDC,CDC Capital Partners PLC
GB-5,ECGD,Export Credit Guarantee Department
GR-1,YPEJ,Ministry of Foreign Affairs
GR-2,YPEUO,Ministry of National Economy
GR-20,ALLOI,Miscellaneous
GR-3,YPESDDA,"Ministry of the Interior, Public Administration and Decentralisation "
GR-4,YPEUA,Ministry of National Defence
GR-5,YPEHODE,"Ministry of the Environment, Land Planning and Public Works "
GR-6,YPEPU,Ministry of National Education and Religions
GR-7,YPGE,Ministry of Agriculture
GR-8,YPYG-PR,Ministry of Health - Welfare
GR-9,YEN,Ministry of Merchant Marine
IE-1,DFA,Department of Foreign Affairs
IE-71,DIC,Department of Industry and Commerce
IT-2,AGEA,Agenzia Erogazioni Per l'Agricoltura
IT-4,DGCS,Direzione Generale per la Cooperazione allo Sviluppo
IT-5,MC,Not in CRS Directives
IT-7,CA,Central administration
IT-74,SACE,Sezione Speciale per l'Assicurazione del Credito all'Esportazione
IT-8,LA,Local administration
IT-9,ART,Artigiancassa
JP-1,MAFF,"Ministry of Agriculture, Forestry and Fisheries "
JP-10,JODC,Japan Overseas Development Co-operation
JP-11,JBIC,Japan Bank for International Co-operation
JP-12,Oth MIN,Other Ministries
JP-13,PC,Public Corporations
JP-14,PRF,Prefectures
JP-15,ODC,Ordinance-designed Cities
JP-2,MOFA,Ministry of Foreign Affairs
JP-7,OFCF,Overseas Fishery Co-operation Foundation
JP-71,NEXI,Nippon Export and Investment Insurance
JP-8,JICA,Japanese International Co-operation Agency
LU-1,LuxDev,Lux-Development
LU-2,MFA,Ministry of Foreign Affairs
LU-22,ODL,Ducroire Office
NL-1,MFA,Ministry of Foreign Affairs (DGIS)
NL-33,NCM,NCM Credit Management Worldwide
NL-4,NIO/FMO,Netherlands Gov. through Netherlands Investment Bank for Developing Countries
NO-1,NORAD,Norwegian Agency for Development Co-operation
NO-4,MFA,Ministry of Foreign Affairs
NO-7,SND,Statens Nærings og Distriksutviklingsfond
NO-71,GIEK,Garantiinstituttet for Eksportkreditt
NO-72,EF,Eksport Finans
NO-8,NORFUND,NORFUND
NZ-1,NZG,Ministry of Foreign Affairs and Trade
NZ-2,NZAid,New Zealand International Aid and Development Agency
PT-1,GP,Portuguese Government
PT-2,IPAD,Institute for Portuguese Development Aid
PT-3,Other,Other
PT-71,COSEC,Conselho de garantias financeiras
SE-2,MFA,Ministry of Foreign Affairs
SE-6,Sida,Swedish International Development Authority
SE-71,EKN,Swedish Export Credits Guarantee Board
US-1,AID,Agency for International Development
US-10,PEACE,Peace Corps
US-11,STATE,State Department
US-12,TDA,Trade and Development Agency
US-13,ADF,African Development Foundation
US-15,CDC,Centers for Disease Control and Prevention
US-16,NIH,National Institutes of Health
US-17,LABOR,Department of Labor
US-2,AGR,Department of Agriculture
US-31,EXIM,Export Import Bank
US-5,DOT,Department of Transportation
US-6,DTRE,Department of Treasury
US-7,DOD,Department of Defense
US-8,MISC,Miscellaneous
US-9,INTERIOR,Department of Interior
41101,UNCCD,Convention to Combat Desertification
41102,DLCO-EA,Desert Locust Control Organisation for Eastern Africa
41103,ECA,Economic Commission for Africa
41104,ECLAC,Economic Commission for Latin America and the Caribbean
41105,ESCWA,Economic and Social Commission for Western Asia
41106,ESCAP,Economic and Social Commission for Asia and the Pacific
41107,IAEA-TCF,International Atomic Energy Agency (Contributions to Technical Cooperation Fund Only)
41108,IFAD,International Fund for Agricultural Development
41109,INSTRAW,International Research and Training Institute for the Advancement of Women
41110,UNAIDS,Joint United Nations Programme on HIV/AIDS
41111,UNCDF,United Nations Capital Development Fund
41112,UNCTAD,United Nations Conference on Trade and Development
41114,UNDP,United Nations Development Programme
41116,UNEP,United Nations Environment Programme
41118,UNFCCC,United Nations Framework Convention on Climate Change
41119,UNFPA,United Nations Population Fund
41120,UN Habitat,United Nations Human Settlement Programme
41121,UNHCR,United Nations Office of the United Nations High Commissioner for Refugees
41122,UNICEF,United Nations Children's Fund
41123,UNIDO,United Nations Industrial Development Organisation
41124,UNIFEM,United Nations Development Fund for Women
41125,UNITAR,United Nations Institute for Training and Research
41126,UNMAS,United Nations Mine Action Service
41127,UNOCHA,United Nations Office of Co-ordination of Humanitarian Affairs
41128,UNODC,United Nations Office on Drugs and Crime
41129,UNRISD,United Nations Research Institute for Social Development
41130,UNRWA,United Nations Relief and Works Agency for Palestine Refugees in the Near East
41131,UNSSC,United Nations System Staff College
41132,UNSCN,United Nations System Standing Committee on Nutrition
41133,UNSIA,United Nations Special Initiative on Africa
41134,UNU,United Nations University (including Endowment Fund)
41135,UNV,United Nations Volunteers
41136,UNVFD,United Nations Voluntary Fund on Disability
41137,UNVFTC,United Nations Voluntary Fund for Technical Co-operation in the Field of Human Rights
41138,UNVFVT,United Nations Voluntary Fund for Victims of Torture
41140,WFP,World Food Programme
41141,PBF Window 2,United Nations Peacebuilding Fund (Window Two: Restricted Contributions Only)
41142,UNDEF,United Nations Democracy Fund
41143,WHO-CVCA,World Health Organisation - core voluntary contributions account
41301,FAO,Food and Agricultural Organisation
41302,ILO,International Labour Organisation
41303,ITU,International Telecommunications Union
41304,UNESCO,"United Nations Educational, Scientific and Cultural Organisation "
41305,UN,United Nations
41306,UPU,Universal Postal Union
41307,WHO-Assessed,World Health Organisation - assessed contributions
41308,WIPO,World Intellectual Property Organisation
41309,WMO,World Meteorological Organisation
41310,UNDPKO,"United Nations Department of Peacekeeping Operations (excluding UNTSO, UNMOGIP, UNFICYP, UNDOF) "
41311,PBF Window 1,United Nations Peacebuilding Fund (Window One: Flexible Contributions Only)
41312,IAEA-Assessed,International Atomic Energy Agency - assessed contributions
41313,OHCHR,United Nations High Commissioner for Human Rights (extrabudgetary contributions only)
41314,UNECE,United Nations Economic Commission for Europe (extrabudgetary contributions only)
42001,EC,European Commission - Development Share of Budget
42003,EDF,European Commission - European Development Fund
42004,EIB,European Investment Bank (interest subsidies only)
42005,FEMIP,Facility for Euro-Mediterranean Investment and Partnership Trust Fund
42006,GEEREF,Global Energy Efficiency and Renewable Energy Fund
43001,IMF-PRGF Trust,International Monetary Fund - Poverty Reduction and Growth Facility Trust
43002,IMF-PRGF-HIPC Trust,"International Monetary Fund - Poverty Reduction and Growth Facility - Heavily Indebted Poor Countries Initiative Trust (includes HIPC, PRGF and PRGF-HIPC sub-accounts) "
43003,IMF-ENDA,International Monetary Fund - Subsidization of IMF Emergency Assistance for Natural Disasters
44001,IBRD,International Bank for Reconstruction and Development
44002,IDA,International Development Association
44003,IDA-HIPC,International Development Association - Heavily Indebted Poor Countries Debt Initiative Trust Fund
44004,IFC,International Finance Corporation
44005,MIGA,Multilateral Investment Guarantee Agency
44006,AMCs,Advance Market Commitments
44007,IDA-MDRI,International Development Association - Multilateral Debt Relief Initiative
45001,WTO-ITC,World Trade Organisation - International Trade Centre
45002,WTO-ACWL,World Trade Organisation - Advisory Centre on WTO Law
45003,WTO-DDAGTF,World Trade Organisation - Doha Development Agenda Global Trust Fund
46001,ASF,African Solidarity Fund
46002,Afr.DB,African Development Bank
46003,Afr.DF,African Development Fund
46004,AsDB,Asian Development Bank
46005,AsDF,Asian Development Fund
46006,BSTDB,Black Sea Trade and Development Bank
