name,id,registry_slug,test_condition
AfDB,46002,afdb,
AsDB,46004,asdb,
"Australia, DFAT",AU-5,ausgov,
"Belgium, DGD",XM-DAC-2-10,be-dgd,
"Canada, Global Affairs",CA-3,gac-amc,
"China, MOFCOM",CN-1,,
"Denmark, MFA",DK-1,danida,
EBRD,46015,ebrd,
"EC, DEVCO",XI-IATI-EC_DEVCO,ec-devco,
"EC, NEAR",XI-IATI-EC_NEAR,ec-near,
"EC, ECHO",XI-IATI-EC_ECHO,ec-echo,
EIB,XM-DAC-918-3,eib,
"Finland, MFA",FI-3,finland_mfa,
"France, MEAE",FR-6,france,
"France, AFD",FR-3,afd,
Gates Foundation,DAC-1601,bmgf,
GAVI,47122,gavi,
"Germany, BMZ-GIZ",DE-1,bmz,"participating-org[@role=""Implementing""]/text()=""Gesellschaft f\xfcr internationale Zusammenarbeit (GIZ) GmbH"""
"Germany, BMZ-KFW",DE-2,bmz,participating-org[@role='Implementing']/text()='Kreditanstalt f\xfcr Wiederaufbau (KfW)'
IADB,XI-IATI-IADB,iadb,
"Ireland, Irish Aid",XM-DAC-21-1,irishaid,
"Italy, AICS",IT-4,aics,
"Japan, JICA",XM-DAC-701-8,jica,
"Japan, MOFA",JP-2,,
"Korea, KOICA",KR-4,odakorea,
"Netherlands, MFA",XM-DAC-7,minbuza_nl,
"New Zealand, MFAT",NZ-1,mfat,
"Norway, MFA",NO-4,norad,
"Spain, AECID",ES-DIR3-E04585801,maec,
"Sweden, Sida",SE-0,sida,
"Switzerland, SDC",CH-4,sdc_ch,
Global Fund,47045,theglobalfund,
"UAE, MOFAIC",AE-2,,
"UK, DFID",GB-GOV-1,dfid,
"UK, FCO",GB-GOV-3,fco,
UNICEF,41122,unicef,
UNDP,XM-DAC-41114,undp,
UN OCHA,XM-DAC-41127,unocha,
"US, USAID",US-GOV-1,usaid,
"US, Defense",US-7,unitedstates,"participating-org[@role=""2""][@ref=""US-7""]"
"US, State",US-11,unitedstates,"participating-org[@role=""2""][@ref=""US-11""]"
"US, MCC",US-18,millenniumchallenge,
"US, PEPFAR",US-14,unitedstates,
"World Bank, IDA",44002,worldbank,"participating-org[@role=""Funding""][@ref=""44002""]"
"World Bank, IFC",44004,ifcwbg,
